Date,Contest number,Word,Number of reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),Day of Week,MS
12/8/2022,537,infer,21199,1863,0,3,19,33,26,14,3,Thursday,4.31
12/9/2022,538,braid,23640,2165,0,10,36,35,14,3,0,Friday,3.57
12/10/2022,539,knock,21157,2041,0,3,18,43,27,8,1,Saturday,4.23
12/11/2022,540,naive,21947,2075,1,7,24,32,24,11,1,Sunday,4.08
12/12/2022,541,apply,22873,2150,0,5,28,38,22,7,1,Monday,4.06
12/13/2022,542,spoke,24101,2224,0,6,31,38,19,5,0,Tuesday,3.83
12/14/2022,543,usual,20824,2048,0,3,20,39,27,10,1,Wednesday,4.25
12/15/2022,544,rival,22176,2127,0,7,27,35,22,8,1,Thursday,4.01
12/16/2022,545,probe,22853,2160,0,6,24,32,24,11,3,Friday,4.2
12/17/2022,546,chord,22336,2088,0,7,39,38,13,3,0,Saturday,3.67
12/18/2022,547,taper,22166,2108,0,8,28,30,20,11,3,Sunday,4.08
12/19/2022,548,slate,26010,2422,6,14,33,27,13,5,1,Monday,3.38
12/20/2022,549,third,24137,2261,1,10,47,32,9,2,0,Tuesday,3.47
12/21/2022,550,lunar,22180,2036,0,5,32,40,17,4,0,Wednesday,3.76
12/22/2022,551,excel,20490,2034,0,1,13,34,34,15,2,Thursday,4.52
12/23/2022,552,aorta,21937,2112,0,7,26,35,20,10,3,Friday,4.14
12/24/2022,553,poise,20281,1911,2,11,34,32,15,6,1,Saturday,3.71
12/25/2022,554,extra,15554,1562,1,5,20,35,28,10,1,Sunday,4.18
12/26/2022,555,judge,20011,2043,0,2,8,16,26,33,14,Monday,5.19
12/27/2022,556,condo,20879,2012,0,2,17,35,29,14,3,Tuesday,4.46
12/28/2022,557,impel,20160,1937,0,3,21,40,25,9,1,Wednesday,4.16
12/29/2022,558,havoc,20001,1919,0,2,16,38,30,12,2,Thursday,4.41
12/30/2022,559,molar,21204,1973,0,4,21,38,26,9,1,Friday,4.15
12/31/2022,560,manly,20380,1899,0,2,17,37,29,12,2,Saturday,4.35
